ItemNo,Product Code,Product Name, Retail ,Barcode,Type,Alc.,Unit,Size,Type,Size,Type,Type(Eng),Occasion,Occasion_List,,,
41,ITLW01-GPN,Grappa di Nebbiolo," 1,550.00 ",885 92732 0041 7,Brandy,40.0%,Bottle,700,ml,700 มิล.,บรั่นดี,Brandy,110110,Anniversary Birthday Celebration Dinner ,,,
42,ITLW01-GPM,Grappa di Moscato," 1,550.00 ",885 92732 0111 7,Brandy,40.0%,Bottle,700,ml,700 มิล.,บรั่นดี,Brandy,110110,Anniversary Birthday Celebration Dinner ,,,
43,ITLW01-GPB,Grappa di Bornarda," 1,550.00 ",885 92732 0112 4,Brandy,40.0%,Bottle,700,ml,700 มิล.,บรั่นดี,Brandy,110110,Anniversary Birthday Celebration Dinner ,,,
44,ITLW02-IGT,IGT Toscana, 630.00 ,885 92732 0047 9,Red,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
45,ITLW02-DRUMO,Rubbia al Colle Drumo, 790.00 ,885 92732 0048 6,Red,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
46,ITLW02-RABU,Rubbia al Colle Rabbuccolo, 790.00 ,885 92732 0049 3,Red,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
47,ITLW02-OLPAIO,Rubbia al Colle Olpaio DOCG, 950.00 ,885 92732 0050 9,Red,13.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
48,ITLW02-MILLE,Villa Crespia Mille - Franciacorta DOCG," 2,400.00 ",885 92732 0051 6,Sparkling,13.0%,Bottle,750,ml,750 มิล.,สปาร์คกลิ้ง,Sparkling,110111,Anniversary Birthday Celebration Dinner ,,,
49,ITLW03-BAMA,Barbaresco DOCG Marcarini," 2,300.00 ",885 92732 0113 1,Red,14.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
50,ITLW03-BASER,Barolo DOCG del Cumune di Serralunga d'Alba," 3,750.00 ",885 92732 0114 8,Red,14.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
51,ITLW03-BALE,Barolo DOCG Leon Riserva," 4,500.00 ",885 92732 0115 5,Red,14.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
52,ITLW03-BABRIC,Barolo DOCG Briccolina," 6,900.00 ",885 92732 0116 2,Red,14.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
53,FRW01-ECS,EMF - Cabernet Sauvignon, 650.00 ,885 92732 0034 9,Red,13.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
54,FRW01-EPN,EMF - Pinot Noir, 650.00 ,885 92732 0031 8,Red,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
55,FRW01-EGSM,EMF - Grenache/Shiraz/Mouvedre, 650.00 ,885 92732 0032 5,Red,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
56,FRW01-ECH,EMF - Chardonnay, 650.00 ,885 92732 0029 5,White,13.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
57,FRW01-ESB,EMF - Sauvignon Blanc, 650.00 ,885 92732 0028 8,White,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
58,FRW01-ERS,EMF - Rose, 650.00 ,885 92732 0030 1,Rose,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
59,FRW02-AP33,L'INIMITABLE - APPLE CIDER 33CL ,,885 92732 0125 4,Apple Cider 330,5.5%,Bottle,330,ml,330 มิล.,ไซเดอร์,Cider,111101,Anniversary Birthday Casual Celebration ,,,
60,FRW02-RS33,LA SULFUREUSE - ROSE CIDER 33CL,,885 92732 0126 1,Rose Cider 330,3.0%,Bottle,330,ml,330 มิล.,ไซเดอร์,Cider,111101,Anniversary Birthday Casual Celebration ,,,
61,FRW02-PR33,LE VERTUEUX - PEAR CIDER 33CL,,885 92732 0127 8,Pear Cider 330,2.5%,Bottle,330,ml,330 มิล.,ไซเดอร์,Cider,111101,Anniversary Birthday Casual Celebration ,,,
62,FRW02-AP75,L'INIMITABLE - APPLE CIDER 75CL, 690.00 ,885 92732 0128 5,Apple Cider 750,5.5%,Bottle,750,ml,750 มิล.,ไซเดอร์,Cider,111101,Anniversary Birthday Casual Celebration ,,,
63,FRW02-RS75,LA SULFUREUSE - ROSE CIDER 75CL, 690.00 ,885 92732 0129 2,Rose Cider 750,3.0%,Bottle,750,ml,750 มิล.,ไซเดอร์,Cider,111101,Anniversary Birthday Casual Celebration ,,,
64,FRW02-PR75,LE VERTUEUX - PEAR CIDER 75CL, 690.00 ,885 92732 0130 8,Pear Cider 750,2.5%,Bottle,750,ml,750 มิล.,ไซเดอร์,Cider,111101,Anniversary Birthday Casual Celebration ,,,
65,THW01-CHOO,Choojai Rice Wine, 199.00 ,885 92732 0069 1,Rice Wine,11.0%,Bottle,700,ml,700 มิล.,ไวน์ข้าว,RiceWine,001001,Casual ,,,
66,THW01-PITI,Piti Tea Rice Wine, 199.00 ,885 92732 0070 7,Tea-Rice Wine,10.0%,Bottle,700,ml,700 มิล.,ไวน์ข้าว,RiceWine,001001,Casual ,,,
